100,200
101,199
103,199
105,199
106,199
108,199
110,199
112,199
113,199
115,198
117,198
119,198
120,197
122,197
124,197
125,196
127,196
129,195
130,195
132,194
134,193
135,193
137,192
139,192
140,191
142,190
143,189
145,189
146,188
148,187
150,186
151,185
152,184
154,183
155,182
157,181
158,180
160,179
161,178
162,177
164,176
165,175
166,174
168,173
169,171
170,170
171,169
173,168
174,166
175,165
176,164
177,162
178,161
179,160
180,158
181,157
182,155
183,154
184,152
185,151
186,150
187,148
188,146
189,145
189,143
190,142
191,140
192,139
192,137
193,135
193,134
194,132
195,130
195,129
196,127
196,125
197,124
197,122
197,120
198,119
198,117
198,115
199,113
199,112
199,110
199,108
199,106
199,105
199,103
199,101
200,100
199,98
199,96
199,94
199,93
199,91
199,89
199,87
199,86
198,84
198,82
198,80
197,79
197,77
197,75
196,74
196,72
195,70
195,69
194,67
193,65
193,64
192,62
192,60
191,59
190,57
189,56
189,54
188,53
187,51
186,50
185,48
184,47
183,45
182,44
181,42
180,41
179,39
178,38
177,37
176,35
175,34
174,33
173,31
171,30
170,29
169,28
168,26
166,25
165,24
164,23
162,22
161,21
160,20
158,19
157,18
155,17
154,16
152,15
151,14
150,13
148,12
146,11
145,10
143,10
142,9
140,8
139,7
137,7
135,6
134,6
132,5
130,4
129,4
127,3
125,3
124,2
122,2
120,2
119,1
117,1
115,1
113,0
112,0
110,0
108,0
106,0
105,0
103,0
101,0
100,0
98,0
96,0
94,0
93,0
91,0
89,0
87,0
86,0
84,1
82,1
80,1
79,2
77,2
75,2
74,3
72,3
70,4
69,4
67,5
65,6
64,6
62,7
60,7
59,8
57,9
56,10
54,10
53,11
51,12
49,13
48,14
47,15
45,16
44,17
42,18
41,19
39,20
38,21
37,22
35,23
34,24
33,25
31,26
30,28
29,29
28,30
26,31
25,33
24,34
23,35
22,37
21,38
20,39
19,41
18,42
17,44
16,45
15,47
14,48
13,49
12,51
11,53
10,54
10,56
9,57
8,59
7,60
7,62
6,64
6,65
5,67
4,69
4,70
3,72
3,74
2,75
2,77
2,79
1,80
1,82
1,84
0,86
0,87
0,89
0,91
0,93
0,94
0,96
0,98
0,99
0,101
0,103
0,105
0,106
0,108
0,110
0,112
0,113
1,115
1,117
1,119
2,120
2,122
2,124
3,125
3,127
4,129
4,130
5,132
6,134
6,135
7,137
7,139
8,140
9,142
10,143
10,145
11,146
12,148
13,150
14,151
15,152
16,154
17,155
18,157
19,158
20,160
21,161
22,162
23,164
24,165
25,166
26,168
28,169
29,170
30,171
31,173
33,174
34,175
35,176
37,177
38,178
39,179
41,180
42,181
44,182
45,183
47,184
48,185
49,186
51,187
53,188
54,189
56,189
57,190
59,191
60,192
62,192
64,193
65,193
67,194
69,195
70,195
72,196
74,196
75,197
77,197
79,197
80,198
82,198
84,198
86,199
87,199
89,199
91,199
93,199
94,199
96,199
